"Company","Role","Salary","Status","Date","Category"
"Learnlight","Online Instructor","$9.25/hr","Offer Accepted","2026-08-01","Training"
"SME Careers","English Language Expert","$25/hr USD","Active Contract","2026-07-29","Training"
"Remote Leverage","Outsourcing Consultant","-","Awaiting Offer","2026-08-15","Consulting"
"Preply","Online Instructor","$16 USD/lesson","Active","2026-08-28","Training"
"Correlation One","Lead Instructor GenAI","-","Applied","2026-08-20","Training"
"Skyword","Writer","-","Active","2026-08-18","Writing"
"Brightstar Lottery","Product Trainer I","-","Rejected","2026-08-16","Training"
"Young & Laramore","Writer 1st","-","Rejected","2026-08-20","Writing"
"Inspira Education","SEO Content Writer","-","Rejected","2026-08-21","Writing"
"Adcubator","Personal Brand Copywriter","$45000/yr","Rejected","2026-08-24","Writing"
"ElevenLabs","Writer Editor","$55000/yr","Rejected","2026-08-22","Writing"
"North South Consulting","Proposal Technical Writer","-","Rejected","2026-08-19","Technical"
"Turing","Technical Content Writer","-","Rejected","2026-08-15","Technical"
"micro1","AI Evaluation Specialist","-","Rejected","2026-08-20","AI"
"TheHiveCareers","Technical Specialist","-","Applied","2026-09-04","Technical"
