Job Search Table (last updated: 2026-08-28-1040 Trinidad time),,,,,,,,,,,,,,,,,,,,,,,,,
"Pattern: niche/specific-skill roles with smaller applicant pools outperform generalist-writer high-volume platforms (Mercor) and AI-interview-only screens (micro1 AI Eval, unrelated to micro1 writing roles).",,,,,,,,,,,,,,,,,,,,,,,,,
Company/Board,Role,Salary,Suitability,Eligibility,Best-Fit Match,Status,,,,,,,,,,,,,,,,,,,
GOOGLE SEARCH,,,,,,,,,,,,,,,,,,,,,,,,,
Company/Board,Role,Salary,Suitability,Eligibility,Best-Fit Match,Status,,,,,,,,,,,,,,,,,,,
All Best Fit Roles,-,-,-,-,-,"https://www.google.com/search?q=(%22Trinidad+and+Tobago%22+OR+%22Trinidad+%26+Tobago%22+OR+Caribbean+OR+%22remote+worldwide%22+OR+%22work+from+anywhere%22)+(%22Technical+Writer%22+OR+%22Documentation+Specialist%22+OR+%22Content+Writer%22+OR+%22Content+Editor%22+OR+%22AI+Trainer%22+OR+%22Training+Specialist%22+OR+%22Curriculum+Developer%22+OR+%22L%26D+Trainer%22+OR+%22Learning+and+Development+Trainer%22+OR+%22Corporate+Trainer%22+OR+%22Training+Lead%22+OR+%22Corporate+Communications+Officer%22+OR+%22Internal+Communications%22+OR+%22Agile+Business+Analyst%22+OR+%22Change+Management+Specialist%22+OR+%22Process+Documentation+Specialist%22+OR+%22AI+Content+Producer%22+OR+%22English+Specialist%22+OR+%22Change+Manager%22+OR+%22ESL+Instructor%22+OR+%22University+Instructor%22+OR+%22Course+Instructor%22+OR+%22Technical+Instructor%22+OR+%22Writers+and+Authors%22+OR+%22Content+Creation+Specialist%22)+(remote+OR+hybrid+OR+%22work+from+home%22)+-intitle%3A%22US+only%22+-intitle%3A%22US-based%22+-intitle%3A%22US+citizens%22
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
URLS FOR MANUAL SEARCH,,,,,,,,,,,,,,,,,,,,,,,,,
Company/Board,Role,Salary,Suitability,Eligibility,Best-Fit Match,Status,,,,,,,,,,,,,,,,,,,
Guardian Group,-,-,-,-,-,Good collection of all available Trinidad jobs; no profile created yet by T,,,,,,,,,,,,,,,,,,,
EmployTT,-,-,-,-,-,"T has applications tracked - requires login, could not verify specific roles",,,,,,,,,,,,,,,,,,,
,Job description: https://employtt.gov.tt/profile/applied,,,,,,,,,,,,,,,,,,,,,,,,
Island Job Hunt,-,-,-,-,-,"NEW - added to monitored sources, not yet checked",,,,,,,,,,,,,,,,,,,
,Job description: https://islandjobhunt.com/jobs,,,,,,,,,,,,,,,,,,,,,,,,
American TESOL Institute,-,-,-,-,-,T verified in graduate database (entry #19570); need actual certificate PDF for uploads requiring authentic documents,,,,,,,,,,,,,,,,,,,
,Job description: https://americantesol.com/tesol-certificate-verification,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
POTENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,
